OBJECTID,Year,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,latitude,longitude,zip,avg_tmax_c,avg_tmin_c,tot_prcp_mm,station,alarm_month,alarm_dayofyear,fire_duration_days,fire_event
2183.0,2018.0,2018-01-29,2018-01-30,14.0,2.600558,34.03976246933086,-118.6888582,90265,21.748387096774195,11.432258064516128,35.5,72295.0,1,29,1.0,1
1930.0,2018.0,2018-01-31,2018-01-31,14.0,0.02883826,34.235451669993864,-118.8464216,91360,21.44838709677419,9.829032258064515,18.8,72391.0,1,31,0.0,1
2019.0,2018.0,2018-01-24,2018-01-24,14.0,0.09832976,33.646020858014495,-117.6648512,92630,23.416129032258063,10.629032258064516,37.6,72297.0,1,24,0.0,1
2016.0,2018.0,2018-01-23,2018-01-23,14.0,0.1679536,33.622366065752864,-117.7321222,92653,23.416129032258063,10.629032258064516,37.6,72297.0,1,23,0.0,1
2017.0,2018.0,2018-01-28,2018-01-28,14.0,0.4142567,33.49695338897877,-117.6573303,92675,23.416129032258063,10.629032258064516,37.6,72297.0,1,28,0.0,1
1941.0,2018.0,2018-01-29,2018-01-29,14.0,0.001796366,34.27708040874702,-119.3074839,93001,21.44838709677419,9.829032258064515,18.8,72391.0,1,29,0.0,1
1961.0,2018.0,2018-01-03,2018-01-03,14.0,0.03201193,34.284096133631884,-119.3056545,93001,21.44838709677419,9.829032258064515,18.8,72391.0,1,3,0.0,1
1949.0,2018.0,2018-01-20,2018-01-20,14.0,0.6356196,34.244298345585186,-119.1911966,93004,21.44838709677419,9.829032258064515,18.8,72391.0,1,20,0.0,1
1934.0,2018.0,2018-01-28,2018-01-29,14.0,1.48225,34.139786278950524,-119.1876746,93041,21.44838709677419,9.829032258064515,18.8,72391.0,1,28,1.0,1
1937.0,2018.0,2018-01-28,2018-01-29,14.0,0.7208683,34.141861418570706,-119.1802086,93041,21.44838709677419,9.829032258064515,18.8,72391.0,1,28,1.0,1
1939.0,2018.0,2018-01-31,2018-01-31,9.0,0.002820561,34.28253888847779,-118.7458438,93065,21.44838709677419,9.829032258064515,18.8,72391.0,1,31,0.0,1
1958.0,2018.0,2018-01-28,2018-01-28,14.0,0.766014,34.29191749021445,-118.9631214,93066,21.44838709677419,9.829032258064515,18.8,72391.0,1,28,0.0,1
2060.0,2018.0,2018-02-13,2018-02-13,11.0,0.02526989,34.05061999162211,-118.645537,90265,19.65,9.728571428571428,2.5,72295.0,2,44,0.0,1
1896.0,2018.0,2018-02-08,2018-02-08,14.0,12.29894,32.556797723670776,-116.8711264,92154,19.625,10.835714285714284,9.1,72290.0,2,39,0.0,1
2018.0,2018.0,2018-02-20,2018-02-20,14.0,0.02049659,33.650576672994966,-117.6822558,92630,21.014285714285712,9.271428571428572,7.4,72297.0,2,51,0.0,1
2032.0,2018.0,2018-02-12,2018-02-12,14.0,0.006579902,33.571728855907004,-117.7335166,92656,21.014285714285712,9.271428571428572,7.4,72297.0,2,43,0.0,1
2020.0,2018.0,2018-02-19,2018-02-19,14.0,0.007379493,33.41480086076205,-117.6144602,92672,19.767857142857142,1.4392857142857145,0.0,72286.0,2,50,0.0,1
1963.0,2018.0,2018-02-15,2018-02-15,9.0,0.1679282,34.385117972537756,-118.8809767,93015,18.935714285714287,5.810714285714286,0.5,72391.0,2,46,0.0,1
1974.0,2018.0,2018-02-07,2018-02-07,2.0,0.2350992,34.401300027461716,-118.8448325,93015,18.935714285714287,5.810714285714286,0.5,72391.0,2,38,0.0,1
1944.0,2018.0,2018-02-25,2018-02-25,14.0,0.2079522,34.29849090330014,-118.8321597,93021,18.935714285714287,5.810714285714286,0.5,72391.0,2,56,0.0,1
1987.0,2018.0,2018-02-14,2018-02-14,14.0,0.5393313,35.47868023507341,-119.0473523,93308,19.464285714285715,4.964285714285714,5.6,72384.0,2,45,0.0,1
2196.0,2018.0,2018-02-12,2018-02-12,9.0,5.25598,35.34595122775725,-120.7152062,93405,20.342857142857145,3.6107142857142858,3.6,72394.0,2,43,0.0,1
1816.0,2018.0,2018-02-18,2018-02-25,7.0,2075.696,37.40989457896447,-118.4377915,93514,15.560714285714283,-5.171428571428572,0.0,72480.0,2,49,7.0,1
1919.0,2018.0,2018-02-17,2018-02-17,5.0,15.67677,36.786797230298184,-121.5332264,95045,19.439285714285713,4.117857142857143,3.3,72593.0,2,48,0.0,1
