zip,Year,fire_occurred,avg_tmax_c,avg_tmin_c,tot_prcp_mm,temp_range_c,dryness_proxy,year_index,CAUSE_10,CAUSE_11,CAUSE_14,CAUSE_15,CAUSE_18,CAUSE_2,CAUSE_3,CAUSE_4,CAUSE_5,CAUSE_6,CAUSE_7,CAUSE_8,CAUSE_9,OBJECTIVE_2,C_METHOD_2,C_METHOD_3,C_METHOD_4,C_METHOD_5,C_METHOD_6,C_METHOD_7,C_METHOD_8,AGENCY_ID_1,AGENCY_ID_2,AGENCY_ID_3,AGENCY_ID_4,AGENCY_ID_5,AGENCY_ID_6,AGENCY_ID_7,AGENCY_ID_8
90046,2018.0,0,26.14333333333333,15.566666666666666,1.5,10.576666666666664,10.457333333333333,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
90046,2019.0,1,26.14333333333333,15.566666666666666,1.5,10.576666666666664,10.457333333333333,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
90046,2020.0,0,26.14333333333333,15.566666666666666,1.5,10.576666666666664,10.457333333333333,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
90046,2021.0,0,26.14333333333333,15.566666666666666,1.5,10.576666666666664,10.457333333333333,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
90049,2018.0,0,26.793548387096777,15.525806451612905,0.0,11.267741935483873,26.793548387096777,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
90049,2019.0,1,26.793548387096777,15.525806451612905,0.0,11.267741935483873,26.793548387096777,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
90049,2020.0,0,26.793548387096777,15.525806451612905,0.0,11.267741935483873,26.793548387096777,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
90049,2021.0,0,26.793548387096777,15.525806451612905,0.0,11.267741935483873,26.793548387096777,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
90068,2018.0,0,23.726666666666667,9.426666666666668,47.0,14.299999999999999,0.49430555555555555,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
90068,2019.0,1,23.726666666666667,9.426666666666668,47.0,14.299999999999999,0.49430555555555555,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
90068,2020.0,0,23.726666666666667,9.426666666666668,47.0,14.299999999999999,0.49430555555555555,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
90068,2021.0,0,23.726666666666667,9.426666666666668,47.0,14.299999999999999,0.49430555555555555,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
90265,2018.0,1,21.881182795698923,12.565437788018434,17.566666666666666,9.315745007680489,1.178519719696531,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
90265,2019.0,1,24.612903225806452,18.12258064516129,0.0,6.490322580645163,24.612903225806452,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
90265,2020.0,1,24.61537634408602,16.913118279569893,0.0,7.702258064516126,24.61537634408602,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90265,2021.0,1,20.14483870967742,10.854723502304148,29.860000000000003,9.29011520737327,0.6527815524846863,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90272,2018.0,0,22.68709677419355,15.425,0.0,7.262096774193548,22.68709677419355,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
90272,2019.0,1,25.703225806451613,16.824193548387097,0.0,8.879032258064516,25.703225806451613,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
90272,2020.0,0,22.68709677419355,15.425,0.0,7.262096774193548,22.68709677419355,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
90272,2021.0,1,19.67096774193548,14.025806451612905,0.0,5.6451612903225765,19.67096774193548,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
90290,2018.0,1,26.338709677419356,14.351612903225806,7.9,11.98709677419355,2.959405581732512,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90290,2019.0,1,23.726666666666667,9.426666666666668,47.0,14.299999999999999,0.49430555555555555,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90290,2020.0,0,26.338709677419356,14.351612903225806,7.9,11.98709677419355,2.959405581732512,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90290,2021.0,1,31.96451612903226,19.029032258064515,0.8,12.935483870967744,17.758064516129032,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90601,2018.0,0,25.26,16.866666666666667,0.0,8.393333333333334,25.26,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90601,2019.0,0,25.26,16.866666666666667,0.0,8.393333333333334,25.26,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90601,2020.0,1,25.26,16.866666666666667,0.0,8.393333333333334,25.26,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90601,2021.0,0,25.26,16.866666666666667,0.0,8.393333333333334,25.26,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90602,2018.0,0,22.23,12.646666666666668,0.6,9.583333333333332,13.893749999999999,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90602,2019.0,0,22.23,12.646666666666668,0.6,9.583333333333332,13.893749999999999,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90602,2020.0,0,22.23,12.646666666666668,0.6,9.583333333333332,13.893749999999999,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90602,2021.0,1,22.23,12.646666666666668,0.6,9.583333333333332,13.893749999999999,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90631,2018.0,0,25.26,16.866666666666667,0.0,8.393333333333334,25.26,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90631,2019.0,0,25.26,16.866666666666667,0.0,8.393333333333334,25.26,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90631,2020.0,1,25.26,16.866666666666667,0.0,8.393333333333334,25.26,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90631,2021.0,0,25.26,16.866666666666667,0.0,8.393333333333334,25.26,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90704,2018.0,0,20.287795698924732,12.811881720430108,10.95,7.475913978494624,1.6977234894497686,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90704,2019.0,0,20.287795698924732,12.811881720430108,10.95,7.475913978494624,1.6977234894497686,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90704,2020.0,1,18.032258064516128,11.287096774193548,21.9,6.74516129032258,0.7874348499788703,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
90704,2021.0,1,22.543333333333333,14.336666666666668,0.0,8.206666666666665,22.543333333333333,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
91301,2018.0,1,21.21150537634409,10.640430107526882,10.35,10.571075268817207,1.8688550992373647,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
