zip,Year,avg_tmax_c,avg_tmin_c,tot_prcp_mm,GIS_ACRES,fire_duration_days,CAUSE,C_METHOD,OBJECTIVE,station,AGENCY_ID,fire_count,fire_occurred
90046,2018.0,26.14333333333333,15.566666666666666,1.5,1.006725,0.0,14.0,8.0,1.0,72288.0,1.0,0,0
90046,2019.0,26.14333333333333,15.566666666666666,1.5,1.006725,0.0,14.0,8.0,1.0,72288.0,1.0,1,1
90046,2020.0,26.14333333333333,15.566666666666666,1.5,1.006725,0.0,14.0,8.0,1.0,72288.0,1.0,0,0
90046,2021.0,26.14333333333333,15.566666666666666,1.5,1.006725,0.0,14.0,8.0,1.0,72288.0,1.0,0,0
90049,2018.0,26.793548387096777,15.525806451612905,0.0,552.6332,8.0,11.0,7.0,1.0,72295.0,1.0,0,0
90049,2019.0,26.793548387096777,15.525806451612905,0.0,552.6332,8.0,11.0,7.0,1.0,72295.0,1.0,1,1
90049,2020.0,26.793548387096777,15.525806451612905,0.0,552.6332,8.0,11.0,7.0,1.0,72295.0,1.0,0,0
90049,2021.0,26.793548387096777,15.525806451612905,0.0,552.6332,8.0,11.0,7.0,1.0,72295.0,1.0,0,0
90068,2018.0,23.726666666666667,9.426666666666668,47.0,72.63429,1.0,14.0,4.0,1.0,72288.0,1.0,0,0
90068,2019.0,23.726666666666667,9.426666666666668,47.0,72.63429,1.0,14.0,4.0,1.0,72288.0,1.0,1,1
90068,2020.0,23.726666666666667,9.426666666666668,47.0,72.63429,1.0,14.0,4.0,1.0,72288.0,1.0,0,0
90068,2021.0,23.726666666666667,9.426666666666668,47.0,72.63429,1.0,14.0,4.0,1.0,72288.0,1.0,0,0
90265,2018.0,21.881182795698923,12.565437788018434,17.566666666666666,1.27983763,0.6666666666666666,4.0,8.0,1.0,72295.0,5.0,3,1
90265,2019.0,24.612903225806452,18.12258064516129,0.0,17.72473,0.0,14.0,8.0,1.0,72295.0,1.0,1,1
90265,2020.0,24.61537634408602,16.913118279569893,0.0,4.396224,0.0,10.0,1.0,1.0,72295.0,2.0,3,1
90265,2021.0,20.14483870967742,10.854723502304147,29.860000000000003,3.3277224000000003,0.0,14.0,1.0,1.0,72295.0,2.0,5,1
90272,2018.0,22.68709677419355,15.425,0.0,613.0517755,3.0,14.0,1.0,1.0,72295.0,1.0,0,0
90272,2019.0,25.703225806451613,16.824193548387097,0.0,23.455551000000003,0.0,14.0,7.0,1.0,72295.0,1.0,2,1
90272,2020.0,22.68709677419355,15.425,0.0,613.0517755,3.0,14.0,1.0,1.0,72295.0,1.0,0,0
90272,2021.0,19.67096774193548,14.025806451612905,0.0,1202.648,6.0,14.0,1.0,1.0,72295.0,1.0,1,1
90290,2018.0,26.338709677419356,14.351612903225806,7.9,1.347234,0.0,14.0,1.0,1.0,72288.0,2.0,1,1
90290,2019.0,23.726666666666667,9.426666666666668,47.0,3.962995,0.0,14.0,1.0,1.0,72288.0,2.0,1,1
90290,2020.0,26.338709677419356,14.351612903225806,7.9,3.962995,0.0,14.0,1.0,1.0,72288.0,2.0,0,0
90290,2021.0,31.96451612903226,19.029032258064515,0.8,6.922003,0.0,14.0,1.0,1.0,72288.0,2.0,1,1
90601,2018.0,25.26,16.866666666666667,0.0,3.485558,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90601,2019.0,25.26,16.866666666666667,0.0,3.485558,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90601,2020.0,25.26,16.866666666666667,0.0,3.485558,0.0,14.0,1.0,1.0,72297.0,2.0,1,1
90601,2021.0,25.26,16.866666666666667,0.0,3.485558,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90602,2018.0,22.23,12.646666666666668,0.6,1.467101,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90602,2019.0,22.23,12.646666666666668,0.6,1.467101,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90602,2020.0,22.23,12.646666666666668,0.6,1.467101,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90602,2021.0,22.23,12.646666666666668,0.6,1.467101,0.0,14.0,1.0,1.0,72297.0,2.0,1,1
90631,2018.0,25.26,16.866666666666667,0.0,6.245241,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90631,2019.0,25.26,16.866666666666667,0.0,6.245241,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90631,2020.0,25.26,16.866666666666667,0.0,6.245241,0.0,14.0,1.0,1.0,72297.0,2.0,1,1
90631,2021.0,25.26,16.866666666666667,0.0,6.245241,0.0,14.0,1.0,1.0,72297.0,2.0,0,0
90704,2018.0,20.287795698924732,12.811881720430108,10.95,9.295147499999999,0.0,11.0,1.0,1.0,72292.0,2.0,0,0
90704,2019.0,20.287795698924732,12.811881720430108,10.95,9.295147499999999,0.0,11.0,1.0,1.0,72292.0,2.0,0,0
90704,2020.0,18.032258064516128,11.287096774193548,21.9,1.529065,0.0,11.0,3.0,1.0,72292.0,2.0,1,1
90704,2021.0,22.543333333333333,14.336666666666668,0.0,17.06123,0.0,11.0,1.0,1.0,72292.0,2.0,1,1
91301,2018.0,21.211505376344086,10.640430107526882,10.35,44776.12697355,6.5,11.0,7.0,1.0,72391.0,2.0,2,1
91301,2019.0,23.31935483870968,14.119354838709675,0.0,1.006445,0.0,14.0,4.0,1.0,72391.0,2.0,1,1
91301,2020.0,23.17215053763441,14.840430107526883,0.0,54.435179999999995,0.5,14.0,4.0,1.0,72391.0,2.0,2,1
91301,2021.0,23.17215053763441,14.119354838709675,0.0,54.435179999999995,0.5,14.0,4.0,1.0,72391.0,2.0,0,0
91302,2018.0,26.338709677419356,14.351612903225806,7.9,0.1335966,0.0,11.0,1.0,1.0,72288.0,2.0,1,1
91302,2019.0,28.26451612903226,13.003225806451614,0.0,8.365055,0.0,14.0,7.0,1.0,72288.0,1.0,2,1
91302,2020.0,26.338709677419356,13.003225806451614,0.3,6.461127,0.0,14.0,1.0,1.0,72288.0,1.0,0,0
91302,2021.0,23.653333333333332,11.876666666666669,0.3,6.461127,0.0,14.0,1.0,1.0,72288.0,1.0,1,1
91311,2018.0,32.53548387096774,19.281451612903226,0.2,14.24504325,0.0,10.0,4.0,1.0,72288.0,1.0,0,0
91311,2019.0,32.53548387096774,19.281451612903226,0.2,14.24504325,0.0,10.0,4.0,1.0,72288.0,1.0,0,0
91311,2020.0,33.26774193548387,19.68064516129032,0.0,26.72971,0.0,10.0,7.0,1.0,72288.0,2.0,1,1
